timestamp,open,high,low,close,volume
23-12-2020,3205,3210.13,3184.17,3185.27,2093787
22-12-2020,3202.8434,3222,3180.08,3206.52,2381781
21-12-2020,3200.01,3226.9666,3166,3206.18,3836846
18-12-2020,3243.99,3249.42,3171.6,3201.65,5995713
17-12-2020,3250,3263.51,3221,3236.08,3474347
16-12-2020,3176.01,3247,3163.68,3240.96,4427616
15-12-2020,3181.01,3188.4999,3130.49,3165.12,3323686
14-12-2020,3143,3190.47,3126,3156.97,4155794
11-12-2020,3096.66,3118.67,3072.82,3116.42,3064695
10-12-2020,3088.99,3142.1,3076,3101.49,3030186
09-12-2020,3167.89,3174.43,3088,3104.2,4100836
08-12-2020,3158.9,3184.13,3120.02,3177.29,3286303
07-12-2020,3156.48,3180.76,3141.69,3158,2751316
04-12-2020,3198.21,3198.21,3158.76,3162.58,2913611
03-12-2020,3205.46,3228.64,3181.31,3186.73,2892039
02-12-2020,3221.65,3232,3173.2601,3203.53,3129304
01-12-2020,3188.5,3248.95,3157.18,3220.08,4493554
30-11-2020,3208.48,3228.39,3125.55,3168.04,4063916
27-11-2020,3211.26,3216.19,3190.05,3195.34,2392867
25-11-2020,3141.87,3198,3140.26,3185.07,3790403
24-11-2020,3100.5,3134.25,3086.258,3118.06,3570889
23-11-2020,3116.6986,3139.745,3065.46,3098.39,4708887
20-11-2020,3117.02,3132.89,3098.0456,3099.4,3380138
19-11-2020,3105.31,3125,3080.92,3117.02,3010270
18-11-2020,3134,3140,3105.1,3105.46,2916836
17-11-2020,3183.5445,3189.25,3135.26,3135.66,3444735
16-11-2020,3093.2,3142.7,3072.685,3131.06,3808676
13-11-2020,3122,3141.7227,3085.39,3128.81,3762587
12-11-2020,3159.95,3175.88,3086.05,3110.28,4371208
11-11-2020,3061.78,3139.145,3050,3137.39,4366923
10-11-2020,3095.02,3114,3019.4828,3035.02,6590956
09-11-2020,3231.03,3289,3112.1057,3143.74,7190406
06-11-2020,3304.64,3322,3232,3311.37,4647330
05-11-2020,3319.97,3366.8,3288.88,3322,5789285
04-11-2020,3159.99,3244.85,3139.73,3241.16,6839041
03-11-2020,3018.53,3074.9,2980.98,3048.41,4897880
02-11-2020,3061.74,3079.705,2950.12,3004.48,7257350
30-10-2020,3157.75,3167.004,3019,3036.15,8396081
